"Campaign name","Ad Set Name",Ads,"Ad name",Objective,Day,Gender,Age,"Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases",Objective,"Reporting starts","Reporting ends"
"Dirty A/B testing","HumanCustumer Group A",AmitHomeRealLife_PQ_V1,AmitHomeRealLife_PQ_V1,LINK_CLICKS,2024-12-04,female,65+,not_delivering,ad,"7-day click or 1-day view",,,4,1,,0.06,4,15,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-04,female,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",8,141,1.07801418,0.22560417,1.80483333,152,11.87390351,8,0.22560417,5.26315789,7,4.60526316,0.25783333,9,1,1,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,unknown,55-64,not_delivering,ad,"7-day click or 1-day view",,,3,1,,0.03,3,10,,,,0,0,,1,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,female,35-44,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,5,1,0.05,0.05,5,10,1,0.05,20,1,20,0.05,1,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,female,25-34,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,4,1,0.06,0.06,4,15,1,0.06,25,1,25,0.06,1,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,male,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",2,10,1,0.045,0.09,10,9,2,0.045,20,3,30,0.03,2,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,female,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",29,293,1.02047782,0.15793103,4.58,299,15.31772575,29,0.15793103,9.69899666,36,12.04013378,0.12722222,27,11,11,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,female,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",9,142,1.02112676,0.23222222,2.09,145,14.4137931,9,0.23222222,6.20689655,11,7.5862069,0.19,9,5,5,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,unknown,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",2,5,1,0.05,0.1,5,20,2,0.05,40,2,40,0.05,2,1,1,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,female,45-54,not_delivering,ad,"7-day click or 1-day view","Link clicks",2,31,1.03225806,0.11,0.22,32,6.875,2,0.11,6.25,2,6.25,0.11,2,1,1,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,male,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,26,1.03846154,0.3,0.3,27,11.11111111,1,0.3,3.7037037,2,7.40740741,0.15,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group B",AmitJPWStudio_PQ_V1,AmitJPWStudio_PQ_V1,LINK_CLICKS,2024-12-04,male,45-54,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0.03,1,30,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-04,female,45-54,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,12,1.16666667,0.07933333,0.07933333,14,5.66666667,1,0.07933333,7.14285714,1,7.14285714,0.07933333,1,7,7,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",JPWABRanChill_PQ_V1,JPWABRanChill_PQ_V1,LINK_CLICKS,2024-12-04,male,35-44,not_delivering,ad,"7-day click or 1-day view",,,1,2,,0.01,2,5,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-04,female,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",2,37,1.08108108,0.15370833,0.30741667,40,7.68541667,2,0.15370833,5,3,7.5,0.10247222,2,1,1,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
